date,sleepIntervalIndex,sleepTimeStart,sleepTimeEnd,sleepDuration,sleepQuality,restingHR,interrupted
06/28/2013,1,"Jun 28, 2013 1:53 AM","Jun 28, 2013 7:37 AM",5h 44m,68,45,0
06/29/2013,1,"Jun 29, 2013 1:50 AM","Jun 29, 2013 9:29 AM",7h 39m,92,44,1
06/30/2013,1,"Jun 30, 2013 2:08 AM","Jun 30, 2013 8:09 AM",6h 1m,74,47,0
07/02/2013,,"Jul 2, 2013 1:56 AM","Jul 2, 2013 7:49 AM",5h 53m,71,47,0
07/04/2013,1,"Jul 4, 2013 1:39 AM","Jul 4, 2013 4:58 AM",3h 19m,90,45,1
07/04/2013,2,"Jul 4, 2013 5:08 AM","Jul 4, 2013 9:20 AM",4h 12m,90,45,1
07/05/2013,1,"Jul 5, 2013 2:51 AM","Jul 5, 2013 8:22 AM",5h 31m,79,42,1
07/06/2013,1,"Jul 6, 2013 1:28 AM","Jul 6, 2013 7:51 AM",6h 23m,78,41,1
07/07/2013,1,"Jul 7, 2013 1:45 AM","Jul 7, 2013 7:59 AM",6h 14m,78,43,0
07/08/2013,1,"Jul 8, 2013 1:22 AM","Jul 8, 2013 7:32 AM",6h 10m,77,45,0
07/09/2013,1,"Jul 9, 2013 1:42 AM","Jul 9, 2013 2:40 AM",58m,63,52,0
07/09/2013,2,"Jul 9, 2013 2:59 AM","Jul 9, 2013 7:32 AM",4h 33m,63,48,0
07/10/2013,1,"Jul 10, 2013 1:27 AM","Jul 10, 2013 7:43 AM",6h 16m,79,47,0
07/11/2013,1,"Jul 11, 2013 12:13 AM","Jul 11, 2013 8:10 AM",7h 57m,59,43,0
07/13/2013,1,"Jul 13, 2013 1:43 AM","Jul 13, 2013 7:45 AM",6h 2m,74,46,0
07/14/2013,1,"Jul 14, 2013 1:25 AM","Jul 14, 2013 9:07 AM",7h 42m,92,44,1
07/15/2013,1,"Jul 15, 2013 1:50 AM","Jul 15, 2013 7:30 AM",5h 40m,67,43,0
07/16/2013,1,"Jul 16, 2013 1:42 AM","Jul 16, 2013 7:26 AM",5h 44m,68,46,0
07/17/2013,1,"Jul 17, 2013 1:20 AM","Jul 17, 2013 7:10 AM",5h 50m,70,45,0
07/18/2013,1,"Jul 18, 2013 12:53 AM","Jul 18, 2013 7:27 AM",6h 34m,86,45,0
