"HipCricket","47.65512","-122.205499"
"Hiptype","1.280746","103.845345"
"HireArt","28.649339","77.099613"
"Homejoy","59.19445","17.624114"
"HopeLab","13.085937","80.174446"
"Hot5","36.090142","-115.172706"
"HowStuffWorks","33.847459","-84.367904"
"Human","40.747403","-73.992827"
"Hyperink","26.120618","-80.195563"
"iCracked","39.732341","-121.862966"
"IDC","19.379832","-99.111389"
"Ifbyphone","41.879724","-87.635661"
"InCrowd","40.520609","-89.455602"
"inDinero","37.513525","-122.203382"
"Influitive","43.646863","-79.394491"
"INRFOOD","35.992939","-78.904447"
"Instacart","53.596898","-6.50806"
"Intelclinic","38.909971","-77.046499"
"InterpretOmics","12.97355","77.646518"
"IntoNow","18.51409","73.834943"
"Intridea","38.903354","-77.03682"
"InVenture","60.164398","24.945984"
"Jamglue","30.088194","-97.441604"
"Jiff","37.443311","-122.160758"
"JobSpice","40.632877","-111.866386"
"Kaleidoscope","33.860788","-84.331989"
"Kamcord","37.447781","-122.15786"
"Kaplan","38.905853","-77.045799"
"Keas","37.789413","-122.401037"
"Kicksend","37.387525","-122.082771"
"Kinsights","33.458996","-86.794974"
"Kippt","51.653216","7.342512"
"Konami","33.902143","-118.379854"
"Kosmix","28.54986","77.253179"
"Labster","43.541237","1.520654"
"LATTO","32.784138","-79.996408"
"LaunchPoint","34.435592","-119.824492"
"Layar","1.39218","103.879895"
"Leaky","45.517458","-122.690194"
"LeanMarket","22.775336","113.279654"
"LIFEmee","22.375818","114.106245"
"Lifesum","19.216754","72.846119"
"Listia","-6.161558","106.832882"
"Lively","30.448507","-84.339144"
"LiveOps","33.403646","-111.965247"
"Livestrong","30.260095","-97.718335"
"Lockitron","37.386908","-122.086783"
"LUMOback","50.848981","5.702612"
"Lytro","37.410407","-122.081002"
"MallWeGo","40.748186","-73.984553"
"MapMyFitness","39.74996","-104.996676"
"Me-trics","35.660217","-77.338776"
"Measy","-6.187705","106.816252"
"Meddik","54.746529","55.988825"
"Medpedia","47.546428","7.565512"
"MedStartr","40.799112","-73.953962"
"Memebox","47.457368","-0.093319"
"MemSQL","37.784066","-122.394662"
"MessageParty","38.719176","-94.458562"
"Metail","-3.794424","-38.582165"
"Mindbloom","47.598796","-122.334322"
"MinoMonsters","53.754592","9.665456"
"MixRank","37.333735","-121.891354"
"MobileWorks","30.705621","-88.124914"
"Mochila","40.711719","-74.008528"
"Mogreet","33.998952","-118.472206"
"Moovweb","37.791185","-122.391791"
"MotherKnows","45.339883","-122.604867"
"Movea","45.191916","5.712838"
"MyFitnessPal","35.01647","-80.852328"
"MyHealthTeams","32.951664","-117.247112"
"mySkin","52.51146","13.38698"
"mySupermarket","17.939973","-77.11211"
"MyVR","37.793512","-122.398541"
"Navitell","53.2167999","50.1479953"
"NCR","35.762431","-78.731328"
"Netpulse","37.759987","-122.388346"
"Netuitive","38.949269","-77.385625"
"NeuroSky","37.332629","-121.890682"
"Newsweek","40.766693","-73.982811"
"NewsWhip","53.340997","-6.236393"
"Nimsoft","59.912257","10.637562"
"Nomi","51.425975","21.155592"
"Noom","45.066052","7.672842"
