date,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_deep,s_duration,s_light,s_quality,s_rem
20130327,61.0,1848.0,485.0,2.0,45.0,13921.0,24644.0,10723.0,83.0,
20130328,73.0,1003.0,447.0,1.0,62.0,16581.0,22281.0,5700.0,84.0,
20130329,165.0,1051.0,414.0,0.0,149.0,6481.0,14902.0,8421.0,48.0,
20130330,64.0,773.0,403.0,0.0,53.0,13680.0,20460.0,6780.0,77.0,
20130401,90.0,0.0,428.0,0.0,90.0,0.0,20280.0,0.0,0.0,
20130402,111.0,1144.0,388.0,0.0,93.0,8580.0,16750.0,8170.0,58.0,
20130403,1439.0,1215.0,459.0,1.0,1424.0,15180.0,27547.0,12367.0,96.0,
20130404,228.0,862.0,399.0,2.0,224.0,4504.0,9784.0,5280.0,28.0,
20130405,127.0,4505.0,403.0,0.0,53.0,9180.0,16505.0,7325.0,58.0,
20130406,46.0,3546.0,480.0,1.0,0.0,14188.0,25409.0,11221.0,86.0,
20130407,152.0,994.0,466.0,1.0,141.0,11750.0,18563.0,6813.0,65.0,
20130408,61.0,1131.0,467.0,1.0,57.0,7801.0,23933.0,16132.0,69.0,
20130409,83.0,1015.0,452.0,0.0,67.0,14580.0,22305.0,7725.0,82.0,
20130410,189.0,1306.0,450.0,1.0,185.0,9254.0,15554.0,6300.0,52.0,
20130412,109.0,1359.0,458.0,1.0,93.0,14289.0,20641.0,6352.0,75.0,
20130413,78.0,1118.0,442.0,0.0,62.0,13981.0,21960.0,7979.0,80.0,
20130415,71.0,5627.0,556.0,3.0,1.0,17825.0,27905.0,10080.0,97.0,
20130416,98.0,989.0,452.0,0.0,82.0,12615.0,21315.0,8700.0,73.0,
20130417,125.0,1289.0,434.0,0.0,104.0,11150.0,18828.0,7678.0,64.0,
20130418,104.0,702.0,413.0,0.0,93.0,13680.0,18637.0,4957.0,72.0,
20130419,185.0,717.0,424.0,0.0,174.0,10566.0,14466.0,3900.0,54.0,
20130420,35.0,1575.0,579.0,2.0,24.0,19293.0,32013.0,12720.0,100.0,
20130421,177.0,1730.0,486.0,0.0,161.0,11768.0,18638.0,6870.0,65.0,
20130422,113.0,1544.0,491.0,1.0,91.0,13478.0,22478.0,9000.0,76.0,
20130423,115.0,1996.0,494.0,1.0,104.0,8760.0,21502.0,12742.0,65.0,
20130424,159.0,741.0,448.0,0.0,148.0,11881.0,17404.0,5523.0,64.0,
20130425,82.0,1671.0,456.0,1.0,71.0,16752.0,22356.0,5604.0,85.0,
20130426,47.0,769.0,385.0,0.0,35.0,12002.0,20330.0,8328.0,73.0,
20130427,36.0,1620.0,465.0,1.0,25.0,13260.0,25207.0,11947.0,86.0,
20130428,95.0,3489.0,471.0,2.0,46.0,15299.0,22071.0,6772.0,79.0,
20130429,1409.0,1137.0,448.0,1.0,1398.0,19442.0,28456.0,9014.0,100.0,
20130430,89.0,822.0,466.0,0.0,76.0,10680.0,22857.0,12177.0,74.0,
20130501,48.0,2366.0,462.0,1.0,37.0,17159.0,23671.0,6512.0,92.0,
20130502,182.0,2131.0,424.0,0.0,154.0,9540.0,14470.0,4930.0,53.0,
20130503,85.0,686.0,424.0,0.0,74.0,13081.0,20356.0,7275.0,74.0,
20130504,47.0,1754.0,400.0,1.0,35.0,14880.0,20400.0,5520.0,80.0,
20130506,32.0,1111.0,451.0,0.0,16.0,18780.0,25380.0,6600.0,97.0,
20130507,76.0,709.0,380.0,0.0,65.0,13381.0,18374.0,4993.0,73.0,
20130508,40.0,1662.0,459.0,1.0,29.0,18660.0,24360.0,5700.0,95.0,
20130509,292.0,302.0,353.0,0.0,288.0,1140.0,3796.0,2656.0,11.0,
20130510,63.0,1302.0,446.0,1.0,51.0,14837.0,23059.0,8222.0,81.0,
20130511,91.0,2715.0,445.0,2.0,75.0,15960.0,19886.0,3926.0,80.0,
20130513,3.0,1386.0,392.0,1.0,1437.0,14520.0,22350.0,7830.0,83.0,
20130514,129.0,1177.0,433.0,1.0,118.0,13380.0,17828.0,4448.0,69.0,
20130516,83.0,1322.0,416.0,0.0,71.0,11402.0,20101.0,8699.0,70.0,
20130517,66.0,1449.0,440.0,0.0,55.0,11118.0,22533.0,11415.0,74.0,
20130518,97.0,712.0,516.0,0.0,91.0,15360.0,24866.0,9506.0,88.0,
20130519,80.0,1726.0,454.0,0.0,69.0,15601.0,22381.0,6780.0,83.0,
20130520,82.0,2018.0,455.0,0.0,65.0,17280.0,22429.0,5149.0,88.0,
20130521,61.0,991.0,435.0,0.0,45.0,11977.0,22477.0,10500.0,76.0,
20130522,80.0,2588.0,504.0,1.0,69.0,15847.0,23560.0,7713.0,84.0,
20130523,88.0,2214.0,432.0,1.0,72.0,11346.0,20286.0,8940.0,71.0,
20130524,125.0,1027.0,419.0,0.0,114.0,9618.0,18138.0,8520.0,60.0,
20130525,123.0,2876.0,581.0,1.0,111.0,15549.0,26949.0,11400.0,90.0,
20130526,153.0,334.0,454.0,0.0,149.0,9900.0,18020.0,8120.0,61.0,
20130527,77.0,759.0,605.0,0.0,65.0,23280.0,31889.0,8609.0,100.0,
20130528,60.0,3499.0,514.0,4.0,49.0,13282.0,24433.0,11151.0,78.0,
20130529,117.0,702.0,466.0,0.0,106.0,11880.0,21439.0,9559.0,72.0,
20130530,23.0,1234.0,357.0,0.0,12.0,11040.0,20100.0,9060.0,72.0,
20130531,23.0,1868.0,382.0,1.0,12.0,13036.0,21136.0,8100.0,77.0,
20130601,1338.0,1371.0,1367.0,0.0,1327.0,1080.0,1740.0,660.0,6.0,
20130605,44.0,1244.0,448.0,1.0,28.0,14315.0,24093.0,9778.0,84.0,
20130608,124.0,8086.0,573.0,3.0,113.0,11999.0,19620.0,7621.0,68.0,
