20130101,4.0,140.0
20130102,2.0,150.0
20130103,1.0,60.0
20130104,2.0,130.0
20130105,2.0,140.0
20130106,2.0,90.0
20130107,2.0,120.0
20130108,1.0,60.0
20130109,1.0,70.0
20130110,2.0,90.0
20130111,4.0,270.0
20130112,1.0,70.0
20130113,,
20130114,1.0,50.0
20130115,1.0,50.0
20130116,3.0,210.0
20130117,3.0,200.0
20130118,4.0,240.0
20130119,4.0,260.0
20130120,3.0,170.0
20130121,2.0,130.0
20130122,2.0,140.0
20130123,3.0,180.0
20130124,5.0,300.0
20130125,2.0,140.0
20130126,1.0,70.0
20130127,3.0,170.0
20130128,1.0,60.0
20130129,2.0,120.0
20130130,2.0,120.0
20130131,4.0,270.0
20130201,1.0,50.0
20130202,1.0,70.0
20130203,2.0,120.0
20130204,3.0,180.0
20130205,4.0,260.0
20130206,1.0,50.0
20130207,2.0,120.0
20130208,2.0,120.0
20130209,1.0,70.0
20130210,2.0,120.0
20130211,1.0,50.0
20130212,3.0,200.0
20130213,2.0,140.0
20130214,3.0,200.0
20130215,1.0,50.0
20130216,1.0,50.0
20130217,3.0,200.0
20130218,2.0,120.0
20130219,2.0,120.0
20130220,3.0,200.0
20130221,2.0,120.0
20130222,1.0,50.0
20130223,1.0,70.0
20130224,1.0,50.0
20130225,2.0,100.0
20130226,2.0,120.0
20130227,1.0,60.0
20130228,1.0,50.0
20130301,1.0,50.0
20130302,2.0,120.0
20130303,1.0,50.0
20130304,2.0,120.0
20130305,1.0,50.0
20130306,1.0,60.0
20130307,1.0,50.0
20130308,1.0,50.0
20130309,1.0,50.0
20130310,1.0,60.0
20130311,1.0,50.0
20130312,2.0,120.0
20130313,2.0,120.0
20130314,2.0,120.0
20130315,2.0,120.0
20130316,1.0,50.0
20130317,2.0,130.0
20130318,2.0,110.0
20130319,2.0,150.0
20130320,1.0,50.0
20130321,1.0,50.0
20130322,1.0,50.0
20130323,2.0,130.0
20130324,1.0,50.0
20130325,4.0,230.0
20130326,3.0,150.0
20130327,2.0,120.0
20130328,2.0,130.0
20130329,1.0,50.0
20130330,1.0,80.0
20130331,2.0,120.0
20130401,1.0,60.0
20130402,1.0,70.0
20130403,1.0,60.0
20130404,2.0,120.0
20130405,1.0,50.0
20130406,2.0,120.0
20130407,2.0,130.0
20130408,1.0,50.0
20130409,1.0,70.0
20130410,2.0,120.0
20130411,2.0,110.0
20130412,2.0,150.0
20130413,1.0,50.0
20130414,2.0,120.0
20130415,1.0,60.0
20130416,1.0,50.0
20130417,1.0,50.0
20130418,1.0,50.0
20130419,1.0,50.0
20130420,1.0,80.0
20130421,1.0,70.0
20130422,1.0,70.0
20130423,1.0,50.0
20130424,1.0,50.0
20130425,2.0,120.0
20130426,1.0,50.0
20130427,1.0,50.0
20130428,1.0,70.0
20130429,1.0,50.0
20130430,1.0,50.0
20130501,1.0,50.0
20130502,1.0,50.0
20130503,1.0,70.0
20130504,1.0,70.0
20130505,1.0,50.0
20130506,2.0,120.0
20130507,2.0,120.0
20130508,1.0,50.0
20130509,1.0,50.0
20130510,1.0,50.0
20130511,1.0,50.0
20130512,1.0,50.0
20130513,1.0,50.0
20130514,1.0,50.0
20130515,1.0,50.0
20130516,1.0,70.0
20130517,1.0,50.0
20130518,1.0,50.0
20130519,1.0,50.0
20130520,1.0,60.0
20130521,1.0,50.0
20130522,1.0,50.0
20130523,1.0,50.0
20130524,1.0,50.0
20130525,1.0,50.0
20130526,1.0,50.0
20130527,1.0,50.0
20130528,1.0,50.0
20130529,1.0,50.0
20130530,1.0,50.0
20130531,1.0,50.0
20130601,1.0,50.0
20130602,1.0,50.0
20130603,,
20130604,,
20130605,1.0,50.0
20130606,,
20130607,,
20130608,,
20130609,,
20130610,,
20130611,,
20130612,,
20130613,,
20130614,,
20130615,,
20130616,,
20130617,,
20130618,,
20130619,,
20130620,1.0,50.0
20130621,1.0,70.0
20130622,,
20130623,,
20130624,1.0,50.0
20130625,,
20130626,1.0,50.0
20130627,,
20130628,1.0,50.0
20130629,,
20130630,1.0,50.0
20130701,1.0,50.0
20130702,,
20130703,,
20130704,,
20130705,,
20130706,,
20130707,,
20130708,,
20130709,1.0,50.0
20130710,,
20130711,1.0,50.0
20130712,1.0,50.0
20130713,1.0,50.0
20130714,,
20130715,,
20130716,,
20130717,,
20130718,1.0,50.0
20130719,,
20130720,1.0,50.0
20130721,1.0,50.0
20130722,1.0,50.0
20130723,,
20130724,,
20130725,1.0,50.0
20130726,,
20130727,,
20130728,,
20130729,1.0,50.0
20130730,,
20130731,,
20130801,,
20130802,,
20130803,1.0,50.0
20130804,1.0,40.0
20130805,1.0,40.0
20130806,1.0,50.0
20130807,1.0,50.0
20130808,,
20130809,,
20130810,1.0,50.0
20130811,,
20130812,,
20130813,1.0,50.0
20130814,1.0,50.0
20130815,1.0,50.0
20130816,1.0,50.0
20130817,,
20130818,1.0,50.0
20130819,1.0,50.0
20130820,1.0,50.0
20130821,1.0,50.0
20130822,1.0,50.0
20130823,1.0,50.0
20130824,1.0,50.0
20130825,,
20130826,,
20130827,2.0,90.0
20130828,,
20130829,,
20130830,,
20130831,,
20130901,1.0,50.0
20130902,1.0,50.0
20130903,,
20130904,1.0,50.0
20130905,,
20130906,,
20130907,1.0,50.0
20130908,,
20130909,1.0,50.0
20130910,,
20130911,1.0,50.0
20130912,,
20130913,,
20130914,,
20130915,1.0,50.0
20130916,,
20130917,,
20130918,1.0,50.0
20130919,,
20130920,,
20130921,,
20130922,,
20130923,,
20130924,,
20130925,,
20130926,,
20130927,,
20130928,,
20130929,,
20130930,,
20131001,,
20131002,,
20131003,,
